"Girokonto";"DE02120300000000202051"

"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"13.01.25";"13.01.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00020";"Ausgang";"DE02120300000000202051";"-13,93";"";"";""
"15.01.25";"15.01.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 01/2025 REF00004";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
"18.01.25";"18.01.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00015";"Ausgang";"DE02120300000000202051";"-25,30";"";"";""
"18.01.25";"18.01.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 01/2025 REF00008";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"19.01.25";"19.01.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00013";"Ausgang";"DE02120300000000202051";"-44,71";"";"";""
"19.01.25";"19.01.25";"Gebucht";"Max Mustermann";"AMAZON EU S.A R.L.";"ONLINE EINKAUF REF00025";"Ausgang";"DE02120300000000202051";"-35,00";"";"";""
"20.01.25";"20.01.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00021";"Ausgang";"DE02120300000000202051";"-22,49";"";"";""
"20.01.25";"20.01.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 01/2025 REF00006";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"20.01.25";"20.01.25";"Gebucht";"Max Mustermann";"Zalando SE";"ONLINE EINKAUF REF00024";"Ausgang";"DE02120300000000202051";"-125,11";"";"";""
"22.01.25";"22.01.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00012";"Ausgang";"DE02120300000000202051";"-72,44";"";"";""
"24.01.25";"24.01.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00022";"Ausgang";"DE02120300000000202051";"-32,43";"";"";""
"25.01.25";"25.01.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00019";"Ausgang";"DE02120300000000202051";"-26,17";"";"";""
"25.01.25";"25.01.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 01/2025 REF00007";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"26.01.25";"26.01.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00017";"Ausgang";"DE02120300000000202051";"-83,63";"";"";""
"27.01.25";"27.01.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 01/2025 REF00009";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"28.01.25";"28.01.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 01/2025 REF00001";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"01.02.25";"01.02.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 02/2025 REF00028";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"03.02.25";"03.02.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 02/2025 REF00029";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"05.02.25";"05.02.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00047";"Ausgang";"DE02120300000000202051";"-21,58";"";"";""
"06.02.25";"06.02.25";"Gebucht";"Max Mustermann";"DB Vertrieb GmbH";"FAHRKARTE DEUTSCHE BAHN REF00051";"Ausgang";"DE02120300000000202051";"-66,49";"";"";""
"06.02.25";"06.02.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00037";"Ausgang";"DE02120300000000202051";"-40,21";"";"";""
"06.02.25";"06.02.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00040";"Ausgang";"DE02120300000000202051";"-48,22";"";"";""
"07.02.25";"07.02.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00045";"Ausgang";"DE02120300000000202051";"-42,43";"";"";""
"07.02.25";"07.02.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 02/2025 REF00031";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"08.02.25";"08.02.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00043";"Ausgang";"DE02120300000000202051";"-79,50";"";"";""
"08.02.25";"08.02.25";"Gebucht";"Max Mustermann";"AMAZON EU S.A R.L.";"ONLINE EINKAUF REF00049";"Ausgang";"DE02120300000000202051";"-139,65";"";"";""
"09.02.25";"09.02.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00044";"Ausgang";"DE02120300000000202051";"-12,38";"";"";""
"13.02.25";"13.02.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00036";"Ausgang";"DE02120300000000202051";"-32,18";"";"";""
"15.02.25";"15.02.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 02/2025 REF00030";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
"17.02.25";"17.02.25";"Gebucht";"Max Mustermann";"AMAZON EU S.A R.L.";"ONLINE EINKAUF REF00050";"Ausgang";"DE02120300000000202051";"-74,16";"";"";""
"18.02.25";"18.02.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 02/2025 REF00034";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"20.02.25";"20.02.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00039";"Ausgang";"DE02120300000000202051";"-63,24";"";"";""
"20.02.25";"20.02.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 02/2025 REF00032";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"21.02.25";"21.02.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00046";"Ausgang";"DE02120300000000202051";"-32,40";"";"";""
"21.02.25";"21.02.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00041";"Ausgang";"DE02120300000000202051";"-67,87";"";"";""
"22.02.25";"22.02.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00038";"Ausgang";"DE02120300000000202051";"-31,23";"";"";""
"22.02.25";"22.02.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00042";"Ausgang";"DE02120300000000202051";"-36,21";"";"";""
"24.02.25";"24.02.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00048";"Ausgang";"DE02120300000000202051";"-38,81";"";"";""
"25.02.25";"25.02.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 02/2025 REF00033";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"27.02.25";"27.02.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 02/2025 REF00035";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"28.02.25";"28.02.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 02/2025 REF00027";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"01.03.25";"01.03.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00066";"Ausgang";"DE02120300000000202051";"-90,98";"";"";""
"01.03.25";"01.03.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 03/2025 REF00053";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"02.03.25";"02.03.25";"Gebucht";"Max Mustermann";"MediaMarkt";"ONLINE EINKAUF REF00072";"Ausgang";"DE02120300000000202051";"-41,31";"";"";""
"03.03.25";"03.03.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 03/2025 REF00054";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"04.03.25";"04.03.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00071";"Ausgang";"DE02120300000000202051";"-56,38";"";"";""
"07.03.25";"07.03.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 03/2025 REF00056";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"10.03.25";"10.03.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00065";"Ausgang";"DE02120300000000202051";"-45,82";"";"";""
"12.03.25";"12.03.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00069";"Ausgang";"DE02120300000000202051";"-47,89";"";"";""
"13.03.25";"13.03.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00061";"Ausgang";"DE02120300000000202051";"-41,20";"";"";""
"15.03.25";"15.03.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 03/2025 REF00055";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
"16.03.25";"16.03.25";"Gebucht";"Max Mustermann";"DB Vertrieb GmbH";"FAHRKARTE DEUTSCHE BAHN REF00073";"Ausgang";"DE02120300000000202051";"-68,04";"";"";""
"17.03.25";"17.03.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00062";"Ausgang";"DE02120300000000202051";"-29,87";"";"";""
"17.03.25";"17.03.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00067";"Ausgang";"DE02120300000000202051";"-74,29";"";"";""
"18.03.25";"18.03.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 03/2025 REF00059";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"20.03.25";"20.03.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00070";"Ausgang";"DE02120300000000202051";"-25,53";"";"";""
"20.03.25";"20.03.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 03/2025 REF00057";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"22.03.25";"22.03.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00063";"Ausgang";"DE02120300000000202051";"-70,70";"";"";""
"25.03.25";"25.03.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00064";"Ausgang";"DE02120300000000202051";"-63,76";"";"";""
"25.03.25";"25.03.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 03/2025 REF00058";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"27.03.25";"27.03.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 03/2025 REF00060";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"28.03.25";"28.03.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 03/2025 REF00052";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"28.03.25";"28.03.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00068";"Ausgang";"DE02120300000000202051";"-62,40";"";"";""
"01.04.25";"01.04.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 04/2025 REF00075";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"02.04.25";"02.04.25";"Gebucht";"Max Mustermann";"Cafe Central";"BESTELLUNG DANKE REF00099";"Ausgang";"DE02120300000000202051";"-29,53";"";"";""
"03.04.25";"03.04.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 04/2025 REF00076";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"03.04.25";"03.04.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00092";"Ausgang";"DE02120300000000202051";"-86,77";"";"";""
"03.04.25";"03.04.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00093";"Ausgang";"DE02120300000000202051";"-52,73";"";"";""
"04.04.25";"04.04.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00088";"Ausgang";"DE02120300000000202051";"-29,57";"";"";""
"07.04.25";"07.04.25";"Gebucht";"Max Mustermann";"Geldautomat Sparkasse";"BARGELDAUSZAHLUNG REF00100";"Ausgang";"DE02120300000000202051";"-150,00";"";"";""
"07.04.25";"07.04.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00096";"Ausgang";"DE02120300000000202051";"-13,81";"";"";""
"07.04.25";"07.04.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00085";"Ausgang";"DE02120300000000202051";"-88,82";"";"";""
"07.04.25";"07.04.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 04/2025 REF00078";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"08.04.25";"08.04.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00095";"Ausgang";"DE02120300000000202051";"-49,02";"";"";""
"10.04.25";"10.04.25";"Gebucht";"Max Mustermann";"HUK-COBURG Versicherung";"HAFTPFLICHT JAHRESBEITRAG 2025 REF00102";"Ausgang";"DE02120300000000202051";"-89,00";"";"";""
"11.04.25";"11.04.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00089";"Ausgang";"DE02120300000000202051";"-9,83";"";"";""
"12.04.25";"12.04.25";"Gebucht";"Max Mustermann";"McDonalds Deutschland";"BESTELLUNG DANKE REF00097";"Ausgang";"DE02120300000000202051";"-30,60";"";"";""
"14.04.25";"14.04.25";"Gebucht";"Max Mustermann";"DB Vertrieb GmbH";"FAHRKARTE DEUTSCHE BAHN REF00101";"Ausgang";"DE02120300000000202051";"-26,93";"";"";""
"15.04.25";"15.04.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00087";"Ausgang";"DE02120300000000202051";"-86,27";"";"";""
"15.04.25";"15.04.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 04/2025 REF00077";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
"18.04.25";"18.04.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00084";"Ausgang";"DE02120300000000202051";"-22,37";"";"";""
"18.04.25";"18.04.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 04/2025 REF00081";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"19.04.25";"19.04.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00090";"Ausgang";"DE02120300000000202051";"-27,16";"";"";""
"20.04.25";"20.04.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 04/2025 REF00079";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"22.04.25";"22.04.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00094";"Ausgang";"DE02120300000000202051";"-50,23";"";"";""
"23.04.25";"23.04.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00086";"Ausgang";"DE02120300000000202051";"-35,12";"";"";""
"23.04.25";"23.04.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00091";"Ausgang";"DE02120300000000202051";"-62,91";"";"";""
"25.04.25";"25.04.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00083";"Ausgang";"DE02120300000000202051";"-18,94";"";"";""
"25.04.25";"25.04.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 04/2025 REF00080";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"27.04.25";"27.04.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 04/2025 REF00082";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"28.04.25";"28.04.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00098";"Ausgang";"DE02120300000000202051";"-46,18";"";"";""
"28.04.25";"28.04.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 04/2025 REF00074";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"01.05.25";"01.05.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 05/2025 REF00104";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"02.05.25";"02.05.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00113";"Ausgang";"DE02120300000000202051";"-64,74";"";"";""
"03.05.25";"03.05.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 05/2025 REF00105";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"03.05.25";"03.05.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00114";"Ausgang";"DE02120300000000202051";"-88,59";"";"";""
"03.05.25";"03.05.25";"Gebucht";"Max Mustermann";"AMAZON EU S.A R.L.";"ONLINE EINKAUF REF00125";"Ausgang";"DE02120300000000202051";"-120,67";"";"";""
"06.05.25";"06.05.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00115";"Ausgang";"DE02120300000000202051";"-43,36";"";"";""
"06.05.25";"06.05.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00117";"Ausgang";"DE02120300000000202051";"-40,97";"";"";""
"06.05.25";"06.05.25";"Gebucht";"Max Mustermann";"MediaMarkt";"ONLINE EINKAUF REF00124";"Ausgang";"DE02120300000000202051";"-17,39";"";"";""
"07.05.25";"07.05.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00120";"Ausgang";"DE02120300000000202051";"-24,13";"";"";""
"07.05.25";"07.05.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00116";"Ausgang";"DE02120300000000202051";"-83,22";"";"";""
"07.05.25";"07.05.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 05/2025 REF00107";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"09.05.25";"09.05.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00118";"Ausgang";"DE02120300000000202051";"-88,61";"";"";""
"10.05.25";"10.05.25";"Gebucht";"Max Mustermann";"ALDI SUED";"KARTENZAHLUNG DANKE REF00119";"Ausgang";"DE02120300000000202051";"-44,80";"";"";""
"15.05.25";"15.05.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00112";"Ausgang";"DE02120300000000202051";"-78,30";"";"";""
"15.05.25";"15.05.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 05/2025 REF00106";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
"17.05.25";"17.05.25";"Gebucht";"Max Mustermann";"MediaMarkt";"ONLINE EINKAUF REF00123";"Ausgang";"DE02120300000000202051";"-129,52";"";"";""
"18.05.25";"18.05.25";"Gebucht";"Max Mustermann";"Telekom Deutschland GmbH";"MOBILFUNK RECHNUNG 05/2025 REF00110";"Ausgang";"DE02120300000000202051";"-19,99";"";"";""
"19.05.25";"19.05.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00121";"Ausgang";"DE02120300000000202051";"-46,52";"";"";""
"19.05.25";"19.05.25";"Gebucht";"Max Mustermann";"DB Vertrieb GmbH";"FAHRKARTE DEUTSCHE BAHN REF00127";"Ausgang";"DE02120300000000202051";"-31,00";"";"";""
"20.05.25";"20.05.25";"Gebucht";"Max Mustermann";"FitX Deutschland GmbH";"MITGLIEDSBEITRAG FITNESS 05/2025 REF00108";"Ausgang";"DE02120300000000202051";"-29,90";"";"";""
"22.05.25";"22.05.25";"Gebucht";"Max Mustermann";"Geldautomat Sparkasse";"BARGELDAUSZAHLUNG REF00126";"Ausgang";"DE02120300000000202051";"-50,00";"";"";""
"24.05.25";"24.05.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00122";"Ausgang";"DE02120300000000202051";"-24,99";"";"";""
"25.05.25";"25.05.25";"Gebucht";"Max Mustermann";"Trade Republic Bank GmbH";"SPARPLAN ETF MSCI WORLD 05/2025 REF00109";"Ausgang";"DE02120300000000202051";"-200,00";"";"";""
"27.05.25";"27.05.25";"Gebucht";"Max Mustermann";"Sparkasse Hanau";"ENTGELT KONTOFUEHRUNG 05/2025 REF00111";"Ausgang";"DE02120300000000202051";"-4,90";"";"";""
"28.05.25";"28.05.25";"Gebucht";"Acme Software GmbH";"Max Mustermann";"GEHALT 05/2025 REF00103";"Eingang";"DE02120300000000202051";"2850,00";"";"";""
"01.06.25";"01.06.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00142";"Ausgang";"DE02120300000000202051";"-47,87";"";"";""
"01.06.25";"01.06.25";"Gebucht";"Max Mustermann";"Wohnbau Hanau GmbH";"MIETE BERGSTRASSE 3 06/2025 REF00129";"Ausgang";"DE02120300000000202051";"-980,00";"";"";""
"03.06.25";"03.06.25";"Gebucht";"Max Mustermann";"Stadtwerke Hanau";"ABSCHLAG STROM GAS 06/2025 REF00130";"Ausgang";"DE02120300000000202051";"-128,00";"";"";""
"03.06.25";"03.06.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00137";"Ausgang";"DE02120300000000202051";"-44,47";"";"";""
"03.06.25";"03.06.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00143";"Ausgang";"DE02120300000000202051";"-54,77";"";"";""
"05.06.25";"05.06.25";"Gebucht";"Max Mustermann";"Lieferando.de";"BESTELLUNG DANKE REF00149";"Ausgang";"DE02120300000000202051";"-22,49";"";"";""
"05.06.25";"05.06.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00144";"Ausgang";"DE02120300000000202051";"-89,19";"";"";""
"07.06.25";"07.06.25";"Gebucht";"Max Mustermann";"Zalando SE";"ONLINE EINKAUF REF00152";"Ausgang";"DE02120300000000202051";"-99,37";"";"";""
"07.06.25";"07.06.25";"Gebucht";"Max Mustermann";"Spotify AB";"SPOTIFY PREMIUM 06/2025 REF00132";"Ausgang";"DE02120300000000202051";"-10,99";"";"";""
"08.06.25";"08.06.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00139";"Ausgang";"DE02120300000000202051";"-31,11";"";"";""
"08.06.25";"08.06.25";"Gebucht";"Max Mustermann";"EDEKA Center";"KARTENZAHLUNG DANKE REF00145";"Ausgang";"DE02120300000000202051";"-40,15";"";"";""
"09.06.25";"09.06.25";"Gebucht";"Max Mustermann";"Geldautomat Sparkasse";"BARGELDAUSZAHLUNG REF00153";"Ausgang";"DE02120300000000202051";"-50,00";"";"";""
"09.06.25";"09.06.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00138";"Ausgang";"DE02120300000000202051";"-25,77";"";"";""
"11.06.25";"11.06.25";"Gebucht";"Max Mustermann";"dm-drogerie markt";"EINKAUF DROGERIE REF00155";"Ausgang";"DE02120300000000202051";"-35,84";"";"";""
"11.06.25";"11.06.25";"Gebucht";"Max Mustermann";"REWE Markt GmbH";"KARTENZAHLUNG DANKE REF00141";"Ausgang";"DE02120300000000202051";"-88,82";"";"";""
"14.06.25";"14.06.25";"Gebucht";"Max Mustermann";"DB Vertrieb GmbH";"FAHRKARTE DEUTSCHE BAHN REF00154";"Ausgang";"DE02120300000000202051";"-68,91";"";"";""
"15.06.25";"15.06.25";"Gebucht";"Max Mustermann";"LIDL Dienstleistung";"KARTENZAHLUNG DANKE REF00146";"Ausgang";"DE02120300000000202051";"-80,54";"";"";""
"15.06.25";"15.06.25";"Gebucht";"Max Mustermann";"NETFLIX INTERNATIONAL B.V.";"NETFLIX ABO 06/2025 REF00131";"Ausgang";"DE02120300000000202051";"-13,99";"";"";""
