"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE02120300000000202051";"13.01.25";"13.01.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00020";"";"";"";"";"";"";"Cafe Central";"DE02120300000000202051";"HELADEF1HAN";"-13,93";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"15.01.25";"15.01.25";"FOLGELASTSCHRIFT";"NETFLIX ABO 01/2025 REF00004";"";"";"";"";"";"";"NETFLIX INTERNATIONAL B.V.";"DE02120300000000202051";"HELADEF1HAN";"-13,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"18.01.25";"18.01.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00015";"";"";"";"";"";"";"ALDI SUED";"DE02120300000000202051";"HELADEF1HAN";"-25,30";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"18.01.25";"18.01.25";"FOLGELASTSCHRIFT";"MOBILFUNK RECHNUNG 01/2025 REF00008";"";"";"";"";"";"";"Telekom Deutschland GmbH";"DE02120300000000202051";"HELADEF1HAN";"-19,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"19.01.25";"19.01.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00013";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-44,71";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"19.01.25";"19.01.25";"FOLGELASTSCHRIFT";"ONLINE EINKAUF REF00025";"";"";"";"";"";"";"AMAZON EU S.A R.L.";"DE02120300000000202051";"HELADEF1HAN";"-35,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"20.01.25";"20.01.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00021";"";"";"";"";"";"";"Lieferando.de";"DE02120300000000202051";"HELADEF1HAN";"-22,49";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"20.01.25";"20.01.25";"FOLGELASTSCHRIFT";"MITGLIEDSBEITRAG FITNESS 01/2025 REF00006";"";"";"";"";"";"";"FitX Deutschland GmbH";"DE02120300000000202051";"HELADEF1HAN";"-29,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"20.01.25";"20.01.25";"FOLGELASTSCHRIFT";"ONLINE EINKAUF REF00024";"";"";"";"";"";"";"Zalando SE";"DE02120300000000202051";"HELADEF1HAN";"-125,11";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"22.01.25";"22.01.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00012";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-72,44";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"24.01.25";"24.01.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00022";"";"";"";"";"";"";"Lieferando.de";"DE02120300000000202051";"HELADEF1HAN";"-32,43";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.01.25";"25.01.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00019";"";"";"";"";"";"";"Lieferando.de";"DE02120300000000202051";"HELADEF1HAN";"-26,17";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.01.25";"25.01.25";"FOLGELASTSCHRIFT";"SPARPLAN ETF MSCI WORLD 01/2025 REF00007";"";"";"";"";"";"";"Trade Republic Bank GmbH";"DE02120300000000202051";"HELADEF1HAN";"-200,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"26.01.25";"26.01.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00017";"";"";"";"";"";"";"EDEKA Center";"DE02120300000000202051";"HELADEF1HAN";"-83,63";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"27.01.25";"27.01.25";"FOLGELASTSCHRIFT";"ENTGELT KONTOFUEHRUNG 01/2025 REF00009";"";"";"";"";"";"";"Sparkasse Hanau";"DE02120300000000202051";"HELADEF1HAN";"-4,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"28.01.25";"28.01.25";"GUTSCHR. UEBERWEISUNG";"GEHALT 01/2025 REF00001";"";"";"";"";"";"";"Acme Software GmbH";"DE02120300000000202051";"HELADEF1HAN";"2850,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"01.02.25";"01.02.25";"FOLGELASTSCHRIFT";"MIETE BERGSTRASSE 3 02/2025 REF00028";"";"";"";"";"";"";"Wohnbau Hanau GmbH";"DE02120300000000202051";"HELADEF1HAN";"-980,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"03.02.25";"03.02.25";"FOLGELASTSCHRIFT";"ABSCHLAG STROM GAS 02/2025 REF00029";"";"";"";"";"";"";"Stadtwerke Hanau";"DE02120300000000202051";"HELADEF1HAN";"-128,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"05.02.25";"05.02.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00047";"";"";"";"";"";"";"Cafe Central";"DE02120300000000202051";"HELADEF1HAN";"-21,58";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"06.02.25";"06.02.25";"FOLGELASTSCHRIFT";"FAHRKARTE DEUTSCHE BAHN REF00051";"";"";"";"";"";"";"DB Vertrieb GmbH";"DE02120300000000202051";"HELADEF1HAN";"-66,49";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"06.02.25";"06.02.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00037";"";"";"";"";"";"";"EDEKA Center";"DE02120300000000202051";"HELADEF1HAN";"-40,21";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"06.02.25";"06.02.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00040";"";"";"";"";"";"";"LIDL Dienstleistung";"DE02120300000000202051";"HELADEF1HAN";"-48,22";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.02.25";"07.02.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00045";"";"";"";"";"";"";"McDonalds Deutschland";"DE02120300000000202051";"HELADEF1HAN";"-42,43";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.02.25";"07.02.25";"FOLGELASTSCHRIFT";"SPOTIFY PREMIUM 02/2025 REF00031";"";"";"";"";"";"";"Spotify AB";"DE02120300000000202051";"HELADEF1HAN";"-10,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"08.02.25";"08.02.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00043";"";"";"";"";"";"";"LIDL Dienstleistung";"DE02120300000000202051";"HELADEF1HAN";"-79,50";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"08.02.25";"08.02.25";"FOLGELASTSCHRIFT";"ONLINE EINKAUF REF00049";"";"";"";"";"";"";"AMAZON EU S.A R.L.";"DE02120300000000202051";"HELADEF1HAN";"-139,65";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"09.02.25";"09.02.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00044";"";"";"";"";"";"";"Cafe Central";"DE02120300000000202051";"HELADEF1HAN";"-12,38";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"13.02.25";"13.02.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00036";"";"";"";"";"";"";"LIDL Dienstleistung";"DE02120300000000202051";"HELADEF1HAN";"-32,18";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"15.02.25";"15.02.25";"FOLGELASTSCHRIFT";"NETFLIX ABO 02/2025 REF00030";"";"";"";"";"";"";"NETFLIX INTERNATIONAL B.V.";"DE02120300000000202051";"HELADEF1HAN";"-13,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"17.02.25";"17.02.25";"FOLGELASTSCHRIFT";"ONLINE EINKAUF REF00050";"";"";"";"";"";"";"AMAZON EU S.A R.L.";"DE02120300000000202051";"HELADEF1HAN";"-74,16";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"18.02.25";"18.02.25";"FOLGELASTSCHRIFT";"MOBILFUNK RECHNUNG 02/2025 REF00034";"";"";"";"";"";"";"Telekom Deutschland GmbH";"DE02120300000000202051";"HELADEF1HAN";"-19,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"20.02.25";"20.02.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00039";"";"";"";"";"";"";"EDEKA Center";"DE02120300000000202051";"HELADEF1HAN";"-63,24";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"20.02.25";"20.02.25";"FOLGELASTSCHRIFT";"MITGLIEDSBEITRAG FITNESS 02/2025 REF00032";"";"";"";"";"";"";"FitX Deutschland GmbH";"DE02120300000000202051";"HELADEF1HAN";"-29,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"21.02.25";"21.02.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00046";"";"";"";"";"";"";"Cafe Central";"DE02120300000000202051";"HELADEF1HAN";"-32,40";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"21.02.25";"21.02.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00041";"";"";"";"";"";"";"EDEKA Center";"DE02120300000000202051";"HELADEF1HAN";"-67,87";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"22.02.25";"22.02.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00038";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-31,23";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"22.02.25";"22.02.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00042";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-36,21";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"24.02.25";"24.02.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00048";"";"";"";"";"";"";"McDonalds Deutschland";"DE02120300000000202051";"HELADEF1HAN";"-38,81";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.02.25";"25.02.25";"FOLGELASTSCHRIFT";"SPARPLAN ETF MSCI WORLD 02/2025 REF00033";"";"";"";"";"";"";"Trade Republic Bank GmbH";"DE02120300000000202051";"HELADEF1HAN";"-200,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"27.02.25";"27.02.25";"FOLGELASTSCHRIFT";"ENTGELT KONTOFUEHRUNG 02/2025 REF00035";"";"";"";"";"";"";"Sparkasse Hanau";"DE02120300000000202051";"HELADEF1HAN";"-4,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"28.02.25";"28.02.25";"GUTSCHR. UEBERWEISUNG";"GEHALT 02/2025 REF00027";"";"";"";"";"";"";"Acme Software GmbH";"DE02120300000000202051";"HELADEF1HAN";"2850,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"01.03.25";"01.03.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00066";"";"";"";"";"";"";"LIDL Dienstleistung";"DE02120300000000202051";"HELADEF1HAN";"-90,98";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"01.03.25";"01.03.25";"FOLGELASTSCHRIFT";"MIETE BERGSTRASSE 3 03/2025 REF00053";"";"";"";"";"";"";"Wohnbau Hanau GmbH";"DE02120300000000202051";"HELADEF1HAN";"-980,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"02.03.25";"02.03.25";"FOLGELASTSCHRIFT";"ONLINE EINKAUF REF00072";"";"";"";"";"";"";"MediaMarkt";"DE02120300000000202051";"HELADEF1HAN";"-41,31";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"03.03.25";"03.03.25";"FOLGELASTSCHRIFT";"ABSCHLAG STROM GAS 03/2025 REF00054";"";"";"";"";"";"";"Stadtwerke Hanau";"DE02120300000000202051";"HELADEF1HAN";"-128,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"04.03.25";"04.03.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00071";"";"";"";"";"";"";"Cafe Central";"DE02120300000000202051";"HELADEF1HAN";"-56,38";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.03.25";"07.03.25";"FOLGELASTSCHRIFT";"SPOTIFY PREMIUM 03/2025 REF00056";"";"";"";"";"";"";"Spotify AB";"DE02120300000000202051";"HELADEF1HAN";"-10,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"10.03.25";"10.03.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00065";"";"";"";"";"";"";"ALDI SUED";"DE02120300000000202051";"HELADEF1HAN";"-45,82";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"12.03.25";"12.03.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00069";"";"";"";"";"";"";"Lieferando.de";"DE02120300000000202051";"HELADEF1HAN";"-47,89";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"13.03.25";"13.03.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00061";"";"";"";"";"";"";"ALDI SUED";"DE02120300000000202051";"HELADEF1HAN";"-41,20";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"15.03.25";"15.03.25";"FOLGELASTSCHRIFT";"NETFLIX ABO 03/2025 REF00055";"";"";"";"";"";"";"NETFLIX INTERNATIONAL B.V.";"DE02120300000000202051";"HELADEF1HAN";"-13,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"16.03.25";"16.03.25";"FOLGELASTSCHRIFT";"FAHRKARTE DEUTSCHE BAHN REF00073";"";"";"";"";"";"";"DB Vertrieb GmbH";"DE02120300000000202051";"HELADEF1HAN";"-68,04";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"17.03.25";"17.03.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00062";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-29,87";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"17.03.25";"17.03.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00067";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-74,29";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"18.03.25";"18.03.25";"FOLGELASTSCHRIFT";"MOBILFUNK RECHNUNG 03/2025 REF00059";"";"";"";"";"";"";"Telekom Deutschland GmbH";"DE02120300000000202051";"HELADEF1HAN";"-19,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"20.03.25";"20.03.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00070";"";"";"";"";"";"";"Lieferando.de";"DE02120300000000202051";"HELADEF1HAN";"-25,53";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"20.03.25";"20.03.25";"FOLGELASTSCHRIFT";"MITGLIEDSBEITRAG FITNESS 03/2025 REF00057";"";"";"";"";"";"";"FitX Deutschland GmbH";"DE02120300000000202051";"HELADEF1HAN";"-29,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"22.03.25";"22.03.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00063";"";"";"";"";"";"";"LIDL Dienstleistung";"DE02120300000000202051";"HELADEF1HAN";"-70,70";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.03.25";"25.03.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00064";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-63,76";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.03.25";"25.03.25";"FOLGELASTSCHRIFT";"SPARPLAN ETF MSCI WORLD 03/2025 REF00058";"";"";"";"";"";"";"Trade Republic Bank GmbH";"DE02120300000000202051";"HELADEF1HAN";"-200,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"27.03.25";"27.03.25";"FOLGELASTSCHRIFT";"ENTGELT KONTOFUEHRUNG 03/2025 REF00060";"";"";"";"";"";"";"Sparkasse Hanau";"DE02120300000000202051";"HELADEF1HAN";"-4,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"28.03.25";"28.03.25";"GUTSCHR. UEBERWEISUNG";"GEHALT 03/2025 REF00052";"";"";"";"";"";"";"Acme Software GmbH";"DE02120300000000202051";"HELADEF1HAN";"2850,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"28.03.25";"28.03.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00068";"";"";"";"";"";"";"EDEKA Center";"DE02120300000000202051";"HELADEF1HAN";"-62,40";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"01.04.25";"01.04.25";"FOLGELASTSCHRIFT";"MIETE BERGSTRASSE 3 04/2025 REF00075";"";"";"";"";"";"";"Wohnbau Hanau GmbH";"DE02120300000000202051";"HELADEF1HAN";"-980,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"02.04.25";"02.04.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00099";"";"";"";"";"";"";"Cafe Central";"DE02120300000000202051";"HELADEF1HAN";"-29,53";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"03.04.25";"03.04.25";"FOLGELASTSCHRIFT";"ABSCHLAG STROM GAS 04/2025 REF00076";"";"";"";"";"";"";"Stadtwerke Hanau";"DE02120300000000202051";"HELADEF1HAN";"-128,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"03.04.25";"03.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00092";"";"";"";"";"";"";"LIDL Dienstleistung";"DE02120300000000202051";"HELADEF1HAN";"-86,77";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"03.04.25";"03.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00093";"";"";"";"";"";"";"LIDL Dienstleistung";"DE02120300000000202051";"HELADEF1HAN";"-52,73";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"04.04.25";"04.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00088";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-29,57";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.04.25";"07.04.25";"FOLGELASTSCHRIFT";"BARGELDAUSZAHLUNG REF00100";"";"";"";"";"";"";"Geldautomat Sparkasse";"DE02120300000000202051";"HELADEF1HAN";"-150,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.04.25";"07.04.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00096";"";"";"";"";"";"";"McDonalds Deutschland";"DE02120300000000202051";"HELADEF1HAN";"-13,81";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.04.25";"07.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00085";"";"";"";"";"";"";"EDEKA Center";"DE02120300000000202051";"HELADEF1HAN";"-88,82";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"07.04.25";"07.04.25";"FOLGELASTSCHRIFT";"SPOTIFY PREMIUM 04/2025 REF00078";"";"";"";"";"";"";"Spotify AB";"DE02120300000000202051";"HELADEF1HAN";"-10,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"08.04.25";"08.04.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00095";"";"";"";"";"";"";"McDonalds Deutschland";"DE02120300000000202051";"HELADEF1HAN";"-49,02";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"10.04.25";"10.04.25";"FOLGELASTSCHRIFT";"HAFTPFLICHT JAHRESBEITRAG 2025 REF00102";"";"";"";"";"";"";"HUK-COBURG Versicherung";"DE02120300000000202051";"HELADEF1HAN";"-89,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"11.04.25";"11.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00089";"";"";"";"";"";"";"EDEKA Center";"DE02120300000000202051";"HELADEF1HAN";"-9,83";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"12.04.25";"12.04.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00097";"";"";"";"";"";"";"McDonalds Deutschland";"DE02120300000000202051";"HELADEF1HAN";"-30,60";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"14.04.25";"14.04.25";"FOLGELASTSCHRIFT";"FAHRKARTE DEUTSCHE BAHN REF00101";"";"";"";"";"";"";"DB Vertrieb GmbH";"DE02120300000000202051";"HELADEF1HAN";"-26,93";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"15.04.25";"15.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00087";"";"";"";"";"";"";"ALDI SUED";"DE02120300000000202051";"HELADEF1HAN";"-86,27";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"15.04.25";"15.04.25";"FOLGELASTSCHRIFT";"NETFLIX ABO 04/2025 REF00077";"";"";"";"";"";"";"NETFLIX INTERNATIONAL B.V.";"DE02120300000000202051";"HELADEF1HAN";"-13,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"18.04.25";"18.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00084";"";"";"";"";"";"";"ALDI SUED";"DE02120300000000202051";"HELADEF1HAN";"-22,37";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"18.04.25";"18.04.25";"FOLGELASTSCHRIFT";"MOBILFUNK RECHNUNG 04/2025 REF00081";"";"";"";"";"";"";"Telekom Deutschland GmbH";"DE02120300000000202051";"HELADEF1HAN";"-19,99";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"19.04.25";"19.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00090";"";"";"";"";"";"";"REWE Markt GmbH";"DE02120300000000202051";"HELADEF1HAN";"-27,16";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"20.04.25";"20.04.25";"FOLGELASTSCHRIFT";"MITGLIEDSBEITRAG FITNESS 04/2025 REF00079";"";"";"";"";"";"";"FitX Deutschland GmbH";"DE02120300000000202051";"HELADEF1HAN";"-29,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"22.04.25";"22.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00094";"";"";"";"";"";"";"EDEKA Center";"DE02120300000000202051";"HELADEF1HAN";"-50,23";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"23.04.25";"23.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00086";"";"";"";"";"";"";"LIDL Dienstleistung";"DE02120300000000202051";"HELADEF1HAN";"-35,12";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"23.04.25";"23.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00091";"";"";"";"";"";"";"EDEKA Center";"DE02120300000000202051";"HELADEF1HAN";"-62,91";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.04.25";"25.04.25";"FOLGELASTSCHRIFT";"KARTENZAHLUNG DANKE REF00083";"";"";"";"";"";"";"ALDI SUED";"DE02120300000000202051";"HELADEF1HAN";"-18,94";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"25.04.25";"25.04.25";"FOLGELASTSCHRIFT";"SPARPLAN ETF MSCI WORLD 04/2025 REF00080";"";"";"";"";"";"";"Trade Republic Bank GmbH";"DE02120300000000202051";"HELADEF1HAN";"-200,00";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"27.04.25";"27.04.25";"FOLGELASTSCHRIFT";"ENTGELT KONTOFUEHRUNG 04/2025 REF00082";"";"";"";"";"";"";"Sparkasse Hanau";"DE02120300000000202051";"HELADEF1HAN";"-4,90";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"28.04.25";"28.04.25";"FOLGELASTSCHRIFT";"BESTELLUNG DANKE REF00098";"";"";"";"";"";"";"Lieferando.de";"DE02120300000000202051";"HELADEF1HAN";"-46,18";"EUR";"Umsatz gebucht"
"DE02120300000000202051";"28.04.25";"28.04.25";"GUTSCHR. UEBERWEISUNG";"GEHALT 04/2025 REF00074";"";"";"";"";"";"";"Acme Software GmbH";"DE02120300000000202051";"HELADEF1HAN";"2850,00";"EUR";"Umsatz gebucht"
